Table 6,,,,,,,,,,,,,
OHIO,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2016",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,
Ada,"5,782",1,0,0,,0,1,38,7,27,4,0,
Akron,"197,257","1,216",34,212,,415,555,"8,646","2,483","5,483",680,94,
Albany,918,0,0,0,,0,0,20,6,13,1,0,
Alliance4,"22,012",99,0,13,,11,75,770,149,602,19,8,
Amberley Village,"3,592",1,0,,0,1,0,43,0,42,1,0,
Amelia,"4,957",0,0,0,,0,0,25,5,20,0,0,
American Township,"12,254",6,0,0,,3,3,167,10,152,5,0,
Amherst,"12,156",7,0,1,,3,3,188,21,164,3,0,
Archbold,"4,342",4,0,0,,0,4,58,12,46,0,1,
Ashland,"20,278",24,2,14,,1,7,405,73,325,7,1,
Ashville,"4,207",1,0,1,,0,0,67,15,49,3,0,
Athens,"25,203",27,0,6,,8,13,462,47,404,11,1,
Aurora,"15,897",11,0,2,,5,4,168,9,157,2,0,
Austintown,"35,680",52,0,9,,13,30,818,114,674,30,0,
Baltimore,"2,970",1,0,0,,0,1,25,7,16,2,0,
Barberton,"26,172",75,0,17,,10,48,799,145,614,40,3,
Barnesville,"4,112",1,0,0,,0,1,14,6,8,0,0,
Batavia,"1,654",6,0,1,,2,3,55,11,42,2,2,
"Bath Township, Summit County","9,896",4,0,1,,0,3,156,13,141,2,0,
Bazetta Township,"5,683",2,0,0,,0,2,207,14,190,3,0,
Beavercreek,"46,490",32,0,14,,13,5,"1,065",64,969,32,2,
Beaver Township,"6,492",4,0,0,,0,4,95,31,56,8,0,
Bedford,"12,678",30,0,,1,18,11,255,29,187,39,0,
Bedford Heights,"10,594",28,0,,4,9,15,290,71,176,43,0,
Bellaire,"4,172",9,0,0,,1,8,46,5,38,3,1,
Bellbrook,"7,074",3,0,2,,0,1,57,4,51,2,0,
Bellefontaine,"13,073",23,0,8,,2,13,404,59,342,3,1,
Bellville,"1,863",1,0,1,,0,0,29,3,25,1,0,
Belpre,"6,484",11,0,3,,2,6,107,13,85,9,1,
Berea,"18,805",11,0,2,,5,4,181,19,154,8,1,
Bethel,"2,782",6,0,1,,0,5,95,9,84,2,0,
Bexley,"13,775",26,0,12,,13,1,359,99,242,18,0,
Blanchester,"4,249",6,1,0,,1,4,75,6,65,4,1,
Blue Ash,"12,169",11,0,4,,4,3,320,41,273,6,3,
Bluffton,"4,127",1,0,,0,1,0,82,16,62,4,0,
Bowling Green,"31,404",42,0,19,,8,15,560,64,486,10,1,
Brady Lake,464,1,0,0,,0,1,5,2,3,0,0,
Brecksville,"13,390",4,0,0,,2,2,54,5,47,2,1,
Brewster,"2,169",0,0,0,,0,0,20,2,17,1,0,
Bridgeport,"1,786",3,1,1,,0,1,18,5,12,1,0,
Brimfield Township,"10,406",9,0,,5,3,1,243,16,221,6,0,
Brooklyn,"10,841",29,2,,5,15,7,673,44,585,44,0,
Brookville,"5,902",7,0,,5,1,1,59,15,43,1,0,
Brunswick,"34,774",25,0,1,,0,24,224,28,182,14,1,
Brunswick Hills Township,"10,402",5,0,0,,0,5,38,9,29,0,0,
Bucyrus,"11,830",24,0,4,,9,11,491,90,394,7,2,
Butler Township,"7,856",36,0,10,,18,8,458,51,382,25,0,
Cadiz,"3,256",7,0,2,,2,3,60,16,42,2,0,
Cambridge,"10,341",14,1,0,,3,10,484,83,388,13,0,
Campbell,"7,936",4,0,3,,1,0,41,15,21,5,1,
Canal Fulton,"5,489",2,0,2,,0,0,73,14,56,3,0,
Canfield,"7,323",1,0,1,,0,0,60,8,52,0,0,
Canton,"71,652",677,8,77,,171,421,"3,664",951,"2,474",239,18,
Carey,"3,570",0,0,0,,0,0,5,2,3,0,0,
Carlisle,"5,323",4,0,0,,2,2,25,6,17,2,0,
Carroll Township,"2,109",1,0,1,,0,0,31,3,26,2,0,
Centerville,"23,853",13,0,0,,3,10,352,41,290,21,0,
Chagrin Falls,"4,003",4,2,1,,0,1,27,3,24,0,0,
Chardon,"5,162",7,0,,0,0,7,66,3,63,0,0,
Chester Township,"10,371",0,0,0,,0,0,18,3,15,0,0,
Cheviot,"8,281",30,0,4,,10,16,254,46,198,10,0,
Chillicothe,"21,692",94,0,8,,34,52,"1,747",350,"1,355",42,2,
Cincinnati,"298,880","2,720",57,249,,"1,278","1,136","15,382","3,929","10,216","1,237",485,
Circleville,"13,930",37,0,5,,12,20,674,97,569,8,0,
Clayton,"13,129",6,0,0,,3,3,135,27,97,11,0,
"Clay Township, Montgomery County","4,217",2,0,2,,0,0,20,6,14,0,0,
Clearcreek Township,"15,322",4,1,2,,0,1,92,18,73,1,0,
Cleveland,"386,227","6,299",135,488,,"2,980","2,696","20,533","6,333","10,001","4,199",315,
Cleveland Heights,"44,696",145,3,,9,80,53,997,118,781,98,3,
Clyde,"6,233",3,0,0,,2,1,148,39,108,1,1,
Coitsville Township,"1,344",3,0,0,,0,3,35,14,18,3,0,
Colerain Township,"58,907",111,2,19,,59,31,"2,135",310,"1,760",65,3,
Columbiana,"6,269",3,0,2,,0,1,88,22,66,0,2,
Columbus,"862,515","4,500",91,867,,"2,144","1,398","35,106","7,756","23,800","3,550",405,
Commercial Point,"1,616",2,0,2,,0,0,10,0,9,1,0,
Cortland,"6,894",1,0,0,,0,1,77,15,59,3,0,
Covington,"2,633",3,0,0,,2,1,29,2,27,0,0,
Crestline,"4,402",9,0,3,,2,4,98,35,56,7,0,
Cuyahoga Falls,"49,064",67,0,24,,14,29,"1,143",116,977,50,5,
Dayton,"140,260","1,402",36,133,,496,737,"7,235","2,269","4,252",714,80,
Deer Park,"5,672",9,0,,1,4,4,74,9,63,2,0,
Defiance,"16,697",25,0,16,,1,8,341,42,291,8,3,
Delaware,"38,658",73,0,35,,14,24,890,154,714,22,7,
Delhi Township,"29,573",20,0,10,,1,9,514,84,409,21,1,
Delphos,"7,011",2,0,,1,0,1,151,24,125,2,0,
Dennison,"2,638",2,0,0,,0,2,12,0,12,0,0,
Dover,"12,906",12,1,4,,1,6,96,15,80,1,1,
Dublin4,"45,860",22,0,9,,5,8,517,97,406,14,2,
East Cleveland,"17,240",111,7,,4,66,34,342,94,131,117,4,
Eastlake,"18,166",10,1,,0,3,6,443,54,375,14,1,
East Palestine,"4,548",6,0,1,,2,3,62,21,39,2,0,
Elmwood Place,"2,160",10,2,2,,3,3,35,10,21,4,0,
Elyria,"53,633",161,4,26,,71,60,"1,483",344,"1,042",97,8,
Englewood,"13,455",13,0,2,,5,6,409,30,367,12,0,
Evendale,"2,766",6,0,0,,1,5,238,7,231,0,0,
Fairborn,"33,587",84,3,32,,21,28,908,189,664,55,8,
Fairfax,"1,704",3,0,0,,2,1,261,12,249,0,0,
Fairfield,"42,810",110,1,17,,21,71,"1,045",144,866,35,2,
Fairfield Township,"22,417",28,1,9,,4,14,598,56,534,8,1,
Fairport Harbor,"3,093",5,0,,0,1,4,102,19,77,6,0,
Fairview Park,"16,318",32,0,0,,6,26,227,35,183,9,0,
Felicity,830,2,0,0,,0,2,42,6,36,0,0,
Forest Park,"18,669",47,0,9,,21,17,633,157,449,27,2,
Franklin,"11,782",23,1,4,,10,8,542,136,390,16,0,
Frazeysburg,"1,321",1,0,1,,0,0,16,1,12,3,0,
Fredericktown,"2,486",6,0,2,,0,4,41,11,29,1,0,
Fremont,"16,215",32,2,,0,11,19,842,155,668,19,0,
Gahanna,"34,859",20,0,10,,6,4,789,99,660,30,2,
Galion,"10,053",17,0,5,,4,8,341,73,264,4,3,
Gallipolis,"3,435",10,0,1,,3,6,442,46,382,14,2,
Geneva-on-the-Lake,"1,207",7,1,2,,0,4,27,9,17,1,0,
Georgetown,"4,436",5,0,3,,1,1,102,21,78,3,0,
Germantown,"5,495",6,0,0,,0,6,40,5,34,1,0,
"German Township, Montgomery County","2,893",1,0,0,,0,1,42,13,26,3,0,
Glouster,"1,798",3,0,2,,0,1,39,15,23,1,2,
"Goshen Township, Clermont County","15,787",6,0,3,,1,2,166,33,126,7,1,
"Goshen Township, Mahoning County","3,106",5,0,0,,0,5,76,17,57,2,0,
Grafton,"6,105",4,1,,0,2,1,38,10,28,0,0,
Grandview Heights,"7,502",1,0,0,,1,0,144,43,95,6,0,
Granville,"5,762",0,0,0,,0,0,41,5,35,1,0,
Greenfield,"4,559",6,0,1,,1,4,102,20,72,10,1,
Greenhills,"3,589",1,0,1,,0,0,36,8,27,1,1,
Green Township,"58,764",39,0,10,,22,7,"1,215",176,989,50,3,
Greenville,"12,962",44,0,13,,8,23,315,74,217,24,14,
Grove City,"40,161",43,2,7,,26,8,"1,678",144,"1,476",58,4,
Groveport,"5,813",5,0,2,,1,2,178,19,149,10,2,
Hamilton,"62,423",320,9,64,,131,116,"3,316",942,"2,365",9,26,
Harrison,"10,819",0,0,,0,0,0,306,15,282,9,0,
Hartford Township,"1,999",0,0,0,,0,0,8,0,8,0,0,
Hartville,"2,974",1,0,0,,1,0,53,8,45,0,0,
Heath,"10,528",23,0,10,,2,11,664,155,488,21,1,
Highland Heights,"8,402",1,0,,0,1,0,99,5,93,1,0,
Hilliard4,"34,832",33,0,11,,9,13,344,67,253,24,4,
Hillsboro,"6,547",8,1,2,,1,4,203,33,166,4,0,
Hinckley Township,"8,041",6,2,0,,0,4,28,15,13,0,0,
Holland,"1,698",6,0,1,,5,0,288,21,266,1,0,
Howland Township,"16,759",13,0,1,,2,10,384,73,295,16,0,
Hubbard,"7,609",10,0,0,,0,10,133,21,107,5,1,
Huber Heights,"38,180",84,1,19,,30,34,"1,270",176,"1,003",91,10,
Hudson,"22,470",4,0,1,,0,3,92,27,62,3,0,
Independence,"7,132",11,0,0,,1,10,120,6,111,3,0,
Indian Hill,"5,801",1,0,0,,0,1,44,8,36,0,0,
Ironton,"10,856",21,0,3,,7,11,270,70,190,10,1,
Jackson,"6,211",10,1,3,,1,5,151,18,127,6,1,
"Jackson Township, Mahoning County","2,042",1,0,0,,0,1,16,4,10,2,0,
"Jackson Township, Stark County","40,780",72,0,14,,31,27,"1,234",126,"1,087",21,3,
Jamestown,"2,034",1,0,0,,0,1,72,28,42,2,0,
Johnstown,"4,973",6,0,1,,0,5,79,9,69,1,0,
Kent,"29,995",67,1,0,,13,53,496,95,385,16,2,
Kenton,"8,199",19,0,7,,5,7,415,96,311,8,1,
Kettering,"55,384",73,0,26,,26,21,"1,008",223,732,53,10,
Kirtland,"6,780",3,0,2,,0,1,27,4,23,0,0,
Kirtland Hills,640,1,0,,0,0,1,0,0,0,0,0,
Lakewood,"50,349",63,3,8,,32,20,876,144,665,67,4,
Lancaster,"39,959",141,0,30,,46,65,"1,826",271,"1,499",56,6,
Lawrence Township,"8,265",2,0,0,,0,2,71,23,45,3,0,
Lebanon,"20,726",22,1,,7,5,9,361,40,313,8,4,
Lexington,"4,715",0,0,0,,0,0,5,0,5,0,0,
Liberty Township,"11,655",32,1,1,,7,23,188,42,132,14,0,
Lima,"37,715",356,8,,44,123,181,"2,259",602,"1,540",117,22,
Lisbon,"2,709",0,0,0,,0,0,39,5,33,1,0,
Lithopolis,"1,401",0,0,0,,0,0,13,3,10,0,0,
Lockland,"3,422",20,0,3,,10,7,121,22,92,7,1,
Logan,"7,106",15,0,6,,1,8,243,38,200,5,2,
London,"10,092",7,0,2,,2,3,284,48,221,15,0,
Loudonville,"2,621",14,0,7,,0,7,47,4,42,1,0,
Louisville,"9,115",14,0,2,,2,10,114,24,84,6,0,
Loveland,"12,691",6,0,2,,3,1,132,21,101,10,1,
Lynchburg,"1,484",4,0,3,,0,1,20,8,12,0,0,
Lyndhurst,"13,624",14,0,5,,6,3,194,19,169,6,2,
Macedonia,"11,794",8,0,1,,4,3,197,11,183,3,0,
"Madison Township, Franklin County","18,466",22,0,1,,12,9,210,59,137,14,0,
Magnolia,972,2,0,0,,0,2,44,13,27,4,0,
Mansfield,"46,656",209,3,58,,63,85,"2,605",679,"1,805",121,26,
Mariemont,"3,431",1,0,,0,1,0,45,3,40,2,0,
Marion,"36,278",107,1,22,,37,47,"1,320",517,772,31,9,
Martins Ferry,"6,761",12,0,2,,0,10,110,33,72,5,0,
Marysville,"22,952",7,0,2,,1,4,144,15,123,6,1,
Mason,"33,026",6,0,3,,2,1,330,17,305,8,1,
Maumee,"13,875",15,0,8,,3,4,380,37,336,7,0,
McArthur,"1,656",2,0,2,,0,0,27,8,18,1,0,
McConnelsville,"1,790",4,0,2,,0,2,29,5,22,2,0,
Mechanicsburg,"1,591",3,0,1,,0,2,45,10,32,3,0,
Medina Township,"9,015",5,0,2,,0,3,141,13,126,2,0,
Mentor,"46,852",51,0,10,,11,30,"1,034",105,899,30,6,
Mentor-on-the-Lake,"7,375",10,0,1,,0,9,91,19,67,5,1,
Miamisburg,"20,000",20,0,4,,12,4,228,40,178,10,1,
"Miami Township, Clermont County","42,109",26,0,11,,4,11,569,84,459,26,4,
"Miami Township, Montgomery County","29,140",39,0,16,,11,12,"1,159",130,985,44,3,
Middlefield,"2,694",0,0,,0,0,0,44,1,43,0,0,
Middleport,"2,464",4,0,0,,1,3,17,4,13,0,1,
Middletown,"48,768",255,5,,43,71,136,"3,296",778,"2,384",134,0,
Milan,"1,343",1,0,1,,0,0,25,5,20,0,0,
Milford,"6,910",9,0,1,,5,3,231,25,202,4,0,
Millersburg,"3,174",3,0,0,,3,0,91,4,86,1,0,
Milton Township,"2,470",1,0,1,,0,0,33,9,23,1,0,
Minerva5,"3,670",5,1,0,,0,4,46,0,44,2,0,
Mingo Junction,"3,299",15,0,,0,3,12,44,14,28,2,10,
Mogadore,"3,919",1,0,,0,0,1,41,8,31,2,0,
Monroe,"15,933",24,0,3,,3,18,436,26,406,4,1,
Montgomery,"10,558",4,0,0,,0,4,148,14,130,4,0,
Montpelier,"3,980",14,1,5,,3,5,146,18,113,15,2,
Montville Township,"11,815",2,0,1,,0,1,46,8,38,0,0,
Moraine,"6,385",34,1,14,,10,9,684,82,565,37,3,
Moreland Hills,"3,303",1,0,,0,1,0,10,3,7,0,0,
Mount Healthy,"6,028",31,4,3,,16,8,259,45,196,18,1,
Mount Orab,"3,649",5,0,0,,2,3,94,4,89,1,0,
Mount Vernon,"16,685",17,0,6,,2,9,680,87,592,1,1,
Munroe Falls,"5,012",2,0,1,,0,1,40,5,35,0,2,
Napoleon,"8,566",11,0,3,,1,7,197,25,171,1,0,
Navarre,"1,916",0,0,0,,0,0,19,4,15,0,0,
Nelsonville,"5,159",11,0,1,,7,3,195,34,148,13,1,
New Albany,"10,340",5,0,2,,1,2,170,16,144,10,0,
Newcomerstown,"3,789",5,1,,1,0,3,82,15,62,5,,
New Concord,"2,317",0,0,0,,0,0,15,1,14,0,0,
New Franklin,"14,285",9,0,1,,2,6,110,30,74,6,2,
New Lebanon,"4,001",9,0,0,,2,7,116,26,79,11,0,
New Lexington,"4,721",12,0,5,,1,6,188,34,149,5,0,
New Middletown,"1,568",1,0,0,,0,1,10,2,8,0,0,
New Philadelphia,"17,526",3,0,1,,0,2,188,9,177,2,0,
New Richmond,"2,651",12,0,3,,2,7,74,22,47,5,1,
Newton Falls,"4,628",9,0,3,,2,4,92,17,72,3,0,
Newtown,"2,663",3,0,0,,1,2,31,6,22,3,0,
Niles,"18,538",53,1,8,,21,23,524,79,431,14,1,
North Baltimore,"3,568",9,0,2,,2,5,67,21,45,1,0,
North Canton,"17,435",9,0,3,,2,4,271,44,219,8,1,
North College Hill,"9,320",30,1,4,,13,12,311,38,247,26,0,
Northfield,"3,630",2,0,0,,1,1,46,4,40,2,0,
North Ridgeville,"33,095",12,1,4,,3,4,193,37,154,2,0,
Northwood,"5,376",6,0,2,,3,1,133,21,110,2,0,
Norton,"12,026",5,0,1,,1,3,135,37,84,14,1,
Norwalk,"16,792",10,0,3,,2,5,440,68,365,7,1,
Norwood,"20,065",52,0,12,,28,12,"1,013",166,798,49,2,
Oak Harbor,"2,705",1,0,1,,0,0,42,5,37,0,0,
Oak Hill,"1,490",2,0,0,,0,2,30,4,25,1,0,
Oberlin,"8,342",38,0,27,,4,7,212,27,184,1,0,
Olmsted Falls,"8,859",3,0,,0,0,3,30,11,17,2,0,
Olmsted Township,"13,228",1,0,,0,1,0,43,15,25,3,0,
Ontario,"6,091",5,0,1,,1,3,370,16,352,2,0,
Oregon,"20,055",37,0,5,,6,26,665,85,553,27,1,
Orrville4,"8,514",16,3,4,,1,8,111,30,80,1,1,
Ottawa Hills,"4,429",1,0,0,,0,1,37,10,24,3,1,
Oxford Township,"2,175",4,0,1,,0,3,32,11,21,0,0,
Parma,"79,576",108,0,26,,43,39,"1,102",271,712,119,11,
Peninsula,572,1,0,0,,1,0,27,3,24,0,0,
Pepper Pike,"6,247",1,0,0,,1,0,32,6,25,1,0,
Perkins Township,"11,844",16,0,0,,7,9,308,5,303,0,0,
Perrysburg,"21,548",8,0,3,,3,2,244,16,223,5,0,
Perrysburg Township,"12,813",6,0,1,,2,3,162,28,129,5,0,
"Perry Township, Columbiana County","4,420",0,0,0,,0,0,0,0,0,0,0,
"Perry Township, Franklin County","3,799",0,0,0,,0,0,53,5,48,0,0,
"Perry Township, Montgomery County","3,346",1,0,0,,0,1,9,4,5,0,0,
Pickerington,"20,040",16,0,0,,10,6,430,42,382,6,0,
Pierce Township,"11,559",3,0,1,,1,1,182,33,148,1,0,
Pioneer,"1,406",2,0,1,,0,1,23,7,16,0,0,
Piqua,"20,845",39,1,19,,13,6,882,135,728,19,7,
Poland Township,"12,052",3,0,1,,0,2,66,16,48,2,0,
Poland Village,"2,471",1,0,1,,0,0,11,1,10,0,0,
Port Clinton,"5,939",13,0,8,,2,3,170,38,129,3,1,
Powell,"13,273",0,0,0,,0,0,106,24,80,2,0,
Reminderville,"4,097",0,0,,0,0,0,30,1,28,1,0,
Reynoldsburg,"37,406",82,6,8,,35,33,"1,345",157,"1,135",53,7,
Richmond Heights,"10,445",27,0,2,,15,10,249,56,165,28,0,
Rio Grande,839,3,0,2,,0,1,16,7,9,0,1,
Rittman,"6,598",4,0,,1,1,2,137,37,86,14,2,
Riverside,"24,920",51,1,15,,16,19,618,133,429,56,3,
Rocky River,"20,400",7,0,1,,0,6,81,15,62,4,0,
Roseville,"1,851",8,0,0,,0,8,34,9,23,2,0,
Ross Township,"8,720",6,0,2,,1,3,83,19,60,4,0,
Russells Point,"1,355",0,0,0,,0,0,26,6,19,1,0,
Russell Township,"5,250",1,0,0,,0,1,15,0,15,0,0,
Sabina,"2,530",2,0,1,,0,1,63,14,46,3,0,
Sagamore Hills4,"11,184",4,0,3,,1,0,46,8,37,1,0,
Salem,"11,943",9,0,1,,1,7,310,18,286,6,1,
Salineville,"1,266",1,0,0,,0,1,23,1,22,0,1,
Sandusky,"25,078",45,1,6,,19,19,911,199,680,32,3,
Sebring,"4,240",4,0,1,,1,2,149,25,121,3,0,
Seven Hills,"11,661",4,0,1,,1,2,64,16,46,2,0,
Shadyside,"3,701",0,0,0,,0,0,6,3,2,1,0,
Sharon Township,"2,451",0,0,0,,0,0,33,3,29,1,0,
Shawnee Township,"12,173",7,0,4,,0,3,144,40,99,5,0,
Shelby,"9,012",17,0,5,,2,10,258,58,199,1,0,
Sidney,"20,797",45,0,16,,16,13,926,206,699,21,3,
Solon,"22,971",11,1,5,,1,4,175,15,154,6,1,
South Bloomfield,"1,873",1,0,0,,0,1,35,5,28,2,0,
South Charleston,"1,655",2,0,0,,0,2,23,3,18,2,0,
South Euclid,"21,686",35,0,4,,23,8,570,57,474,39,0,
South Russell,"3,827",2,0,,1,1,0,4,0,4,0,0,
South Zanesville,"1,974",1,0,0,,1,0,22,6,15,1,0,
Spencerville,"2,195",1,0,0,,0,1,28,5,23,0,1,
Springboro,"18,379",11,0,6,,1,4,103,9,88,6,0,
Springfield,"59,503",411,5,34,,184,188,"4,040",963,"2,817",260,58,
"Springfield Township, Hamilton County","36,527",60,1,6,,33,20,794,172,565,57,5,
"Springfield Township, Mahoning County","6,446",3,0,2,,0,1,76,32,40,4,0,
"Springfield Township, Summit County","17,813",34,0,10,,4,20,895,119,748,28,3,
St. Clairsville,"5,090",4,0,0,,0,4,9,1,8,0,0,
St. Clair Township,"7,704",0,0,0,,0,0,40,0,40,0,0,
Steubenville,"18,137",60,2,,4,22,32,"1,085",132,945,8,2,
St. Marys,"8,256",5,0,0,,2,3,130,29,98,3,1,
Stow,"34,792",30,0,11,,5,14,642,66,569,7,2,
St. Paris,"2,014",0,0,0,,0,0,16,0,15,1,0,
Strasburg,"2,693",0,0,0,,0,0,21,1,19,1,0,
Streetsboro,"16,364",6,0,0,,1,5,244,28,207,9,1,
Strongsville,"44,626",19,0,0,,14,5,882,65,797,20,1,
Struthers,"10,314",27,0,1,,8,18,244,75,161,8,0,
Sugarcreek Township,"8,283",3,0,1,,2,0,159,9,146,4,0,
Sunbury,"5,242",0,0,0,,0,0,56,9,46,1,0,
Swanton,"3,889",3,0,2,,0,1,28,4,24,0,0,
Sylvania Township,"29,416",18,0,2,,7,9,632,99,507,26,0,
Tallmadge,"17,502",23,0,,4,9,10,403,73,315,15,0,
Tiffin,"17,637",13,0,,5,3,5,418,76,328,14,0,
Tipp City,"9,941",7,0,1,,1,5,181,23,148,10,1,
Toledo6,"278,366","3,319",37,316,,803,"2,163","11,191","3,381","7,081",729,,
Toronto,"4,843",6,0,3,,0,3,16,4,12,0,0,
Trotwood,"24,024",90,11,20,,37,22,962,341,506,115,11,
Troy,"25,745",22,0,13,,3,6,724,145,567,12,6,
Twinsburg,"18,888",20,1,1,,5,13,131,19,109,3,1,
Uhrichsville,"5,403",3,0,1,,0,2,45,3,41,1,0,
Uniontown,"3,330",2,0,1,,0,1,81,21,58,2,0,
"Union Township, Clermont County","47,933",43,0,17,,12,14,962,87,854,21,2,
University Heights,"13,131",45,0,,7,27,11,305,29,260,16,4,
Upper Arlington,"35,150",16,1,4,,8,3,535,67,449,19,1,
Upper Sandusky,"6,515",12,2,4,,0,6,153,25,123,5,1,
Urbana,"11,482",14,0,3,,5,6,420,78,323,19,7,
Utica,"2,206",5,1,1,,0,3,16,4,11,1,0,
"Valley View, Cuyahoga County","2,007",0,0,,0,0,0,35,8,23,4,0,
Vandalia,"15,073",14,0,2,,9,3,328,63,232,33,3,
Van Wert,"10,794",29,0,10,,1,18,353,86,262,5,0,
Vermilion,"10,404",3,0,0,,0,3,107,14,90,3,0,
Vienna Township,"3,817",5,0,1,,0,4,65,15,49,1,0,
Village of Leesburg,"1,289",0,0,0,,0,0,46,9,37,0,0,
Wadsworth,"21,910",24,0,7,,2,15,479,40,436,3,4,
Walton Hills,"2,236",0,0,,0,0,0,29,3,24,2,0,
Wapakoneta,"9,815",10,0,3,,0,7,144,20,121,3,0,
Warren,"40,005",228,2,27,,90,109,"1,509",511,905,93,6,
Warren Township,"5,320",16,0,3,,2,11,126,53,65,8,0,
Washington Court House,"13,986",37,0,9,,9,19,612,137,459,16,2,
Waterville,"5,511",2,0,0,,1,1,29,4,24,1,0,
Wauseon,"7,311",7,0,3,,1,3,197,13,183,1,0,
Waverly,"4,248",3,0,0,,1,2,93,8,83,2,0,
Wellston,"5,459",18,0,2,,6,10,161,40,115,6,1,
West Alexandria,"1,334",1,0,0,,0,1,23,7,15,1,0,
West Carrollton,"12,944",22,0,8,,6,8,358,87,235,36,4,
West Chester Township,"61,080",43,0,15,,14,14,"1,340",155,"1,161",24,4,
Westerville,"38,808",21,0,7,,9,5,935,75,844,16,5,
West Jefferson,"4,291",3,0,0,,1,2,101,14,84,3,0,
West Lafayette,"2,279",3,0,2,,0,1,8,1,7,0,0,
Westlake,"32,353",14,0,0,,5,9,461,37,403,21,3,
West Liberty,"1,769",3,0,0,,0,3,21,8,13,0,0,
West Union,"3,167",5,0,0,,0,5,44,15,23,6,0,
Whitehall,"18,804",153,2,25,,74,52,"1,163",299,794,70,9,
Whitehouse,"4,528",1,0,0,,0,1,30,4,23,3,0,
Wickliffe,"12,506",17,0,0,,9,8,233,41,178,14,0,
Willard,"6,031",4,0,1,,2,1,302,68,222,12,2,
Williamsburg,"2,560",3,0,0,,1,2,63,9,54,0,0,
Willoughby,"22,701",45,1,8,,21,15,478,62,394,22,1,
Wilmington,"12,443",18,0,9,,2,7,578,59,499,20,2,
Windham,"2,201",3,0,0,,1,2,32,6,26,0,0,
Wintersville,"3,770",1,0,0,,0,1,57,3,54,0,0,
Woodlawn,"3,292",6,0,1,,1,4,115,11,98,6,0,
Woodmere Village,859,2,0,,1,0,1,56,1,38,17,0,
Wooster,"26,883",73,0,24,,14,35,776,127,633,16,10,
Worthington,"14,689",5,0,0,,4,1,233,28,195,10,2,
Wyoming,"8,407",5,0,0,,4,1,159,17,139,3,1,
Xenia,"26,037",53,1,13,,11,28,821,134,665,22,6,
Yellow Springs4,"3,857",2,0,0,,1,1,79,18,59,2,0,
Youngstown,"64,181",415,12,28,,151,224,"2,426",921,"1,264",241,137,
Zanesville,"25,494",93,0,18,,28,47,"1,288",230,"1,036",22,10,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,
"4 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
"5 This agency began the year submitting rape data classified according to the legacy UCR definition. However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape. See the data declaration for further explanation.",,,,,,,,,,,,,
"6 Arson offenses are reported by the Toledo Fire Department; therefore, those figures are not included in this report.",,,,,,,,,,,,,